code_nacre,description,emission,emission_factor
BA02,COMBUSTIBLES GAZEUX DISTRIBUES,1.3,0.25
BA03,EAU COURANTE,0.55,0.4
BA04,FIOUL DOMESTIQUE,0.5,0.25
BA05,CHAUFFAGE URBAIN,0.5,2.5
BA06,COMBUSTIBLES A BASE DE BOIS,0.43,3.0
BA07,AUTRES COMBUSTIBLES,,1.8
BA11,"MATERIEL DE STOCKAGE DES FLUIDES (CUVES A FIOUL,…)",0.52,0.4
BB01,PRODUITS ET PETITES FOURNITURES D'HYGIENE ET DE TOILETTE,0.95,0.35
BB02,PRODUITS ET PETITES FOURNITURES D'ENTRETIEN MENAGER,0.88,0.25
BB03,MATERIEL POUR L'ENTRETIEN DES LOCAUX,0.46,0.4
BB04,MATERIELS POUR LE TRAITEMENT DES DECHETS,0.41,0.25
BB11,SERVICES DE NETTOYAGE COURANT DES LOCAUX,0.18,0.4
BB12,SERVICES DE NETTOYAGE SPECIALISE DES LOCAUX,0.18,0.35
BB13,SERVICES DE NETTOYAGE DES VITRES,0.18,0.6
BB14,SERVICES DE NETTOYAGE ET D'ENTRETIEN DES LOCAUX SENSIBLES,0.18,0.55
BB21,SERVICES DE DESINFECTION,0.2,0.9
BB22,SERVICES DE DERATISATION,0.2,1.1
BB23,SERVICES DE DESINSECTISATION,0.2,1.5
BB24,"SERVICES DE DECONTAMINATION NUCLEAIRE, BIOLOGIQUE OU CHIMIQUE",0.76,2.2
BB31,SERVICES DE TRAITEMENT DES DECHETS CHIMIQUES ET ASSIMILES,0.76,0.55
BB32,SERV. TRAITMNT DECHETS BIOLOG. ET D'ACTIVIT. DE SOINS A RISQUES INFECTIEUX (DAS),0.76,0.45
BB33,SERVICES DE TRAITEMENT DES DECHETS RADIOACTIFS D'ACTIVITES NUCLEAIRES,0.76,0.35
BB34,SERVICES DE TRAITEMENT DES DECHETS DEEE,0.76,0.25
BB35,SERVICES DE TRAITEMENT DES DECHETS PAPIER,0.76,1.8
BB36,"SERVICES DE TRAITEMENT DES AUTRES DECHETS (MENAGERS, INDUSTRIELS,…)",0.76,0.6
BB41,REPARATION ET MAINTENANCE DU MATERIEL D'ENTRETIEN DES LOCAUX,0.24,0.9
BB42,REPARATION ET MAINTENANCE DU MATERIEL POUR LE TRAITEMENT DES DECHETS,0.24,1.0
BC01,SERVICES DE GARDIENNAGE ET DE SECURITE,0.2,0.35
BC02,SERVICES DE TELESURVEILLANCE,0.2,0.25
BC03,SERVICES D'ACCUEIL,0.12,0.4
BC11,"CONTRÔLES RELATIFS A L'ENVIRONNEMENT (EAU, EAUX USEES, INCINERATEURS…)",0.12,0.4
BC12,CONTRÔLES REGLEMENTAIRES DES EQUIPEMENTS DES BATIMENTS,0.2,0.35
BC13,SERVICES D'ANALYSES ET ESSAIS DES PRODUITS ET EQUIPEMENTS (hors scientifique),0.18,0.6
BD01,MATERIAUX ET CONSOM. PR LA CONSTRUCT. ET L'ENTRETIEN DES BATIMENTS ET INFRASTR.,0.83,0.35
BD02,FOURNITURES POUR LES INSTALLATIONS ELECTRIQUES DES BATIMENTS ET INFRASTRUCTURES,0.46,0.25
BD03,FOURNITURES DE PLOMBERIE,0.41,0.4
BD04,OUTILLAGE POUR LA CONSTRUCTION ET L'ENTRETIEN DES BÂTIMENTS ET INFRASTRUCTURES,0.43,0.25
BD05,BATIMENTS PREFABRIQUES OU MODULAIRES,0.4,2.5
BD11,"PORTES, FENETRES ET MENUISERIES",0.43,0.4
BD12,FOURNITURES POUR LE REVETEMENT DES MURS ET PLAFONDS,0.49,0.35
BD13,FOURNITURES POUR LE REVETEMENT DES SOLS,0.38,0.6
BD14,FOURNITURES ET EQUIPEMENTS D'ORNEMENT DES LOCAUX,0.52,0.55
BD15,QUINCALLERIE POUR L'AMENAGEMENT ET L'ENTRETIEN DES BATIMENTS,0.44,0.5
BD21,PETITES FOURNITURES ELECTRIQUES POUR L'EQUIPEMENT DES BATIMENTS ET INFRASTR.,0.59,0.9
BD22,GROS EQUIPEMENTS DES INSTALLATIONS ELECTRIQUES,0.5,1.1
BD23,EQUIPEMENTS MECANIQUES POUR BATIMENTS,0.47,1.5
BD24,"EQUIPEMENTS DE CHAUFFAGE, VENTILATION, CLIMATISATION (HORS BAT. EXPERIMENTAUX)",0.48,2.2
BD25,EQUIPEMENTS SANITAIRES ET DE PLOMBERIE POUR L'EQUIPEMENT DES BATIMENTS,0.61,0.8
BD26,FOURNITURES ET EQUIPEMENT DE SIGNALISATION DES BATIMENTS ET INFRASTRUCTURES,0.53,0.6
BD27,"FOURNITURES ET EQUIPEMENTS DE SECURITE (SYSTEMES D'ALARMES, EXTINCTEURS,…)",0.93,0.7
BE01,"MACONNERIE, DEMOLITION ET DESAMIANTAGE",0.37,0.35
BE02,"MENUISERIE, SERRURERIE",0.37,0.25
BE03,"ETANCHEITE, BARDAGE, COUVERTURE ET ZINGUERIE",0.37,0.4
BE04,"PLATRERIE, CLOISONS SECHES, FAUX PLAFONDS",0.37,0.25
BE05,"PEINTURES, REVETEMENTS DE SOLS, RAVALEMENT",0.37,2.5
BE06,ELECTRICITE SUR INSTALLATIONS ELECTRIQUES DES BATIMENTS,0.37,3.0
BE07,"CVC, PLOMBERIE ET FLUIDES SPECIAUX",0.37,1.8
BE08,VOIRIE RESEAUX DISTRIBUTION (VRD),0.37,1.2
BE09,AUTRES TRAVAUX D'AMENAGEMENT DES BATIMENTS,0.37,0.8
BE11,REPARATION ET MAINTENANCE DES EQUIPEMENTS  DE LEVAGE,0.43,0.4
BE12,REPARATION ET MAINTENANCE DES CHAMBRES FROIDES,0.43,0.35
BE13,REPARATION ET MAINTENANCE DES EQUIPEMENTS DE SECURITE,0.43,0.6
BE14,REPARATION ET MAINTENANCE DES INSTALLATIONS ET EQUIPEMENTS ELECTRIQUES,0.43,0.55
BE15,"REPAR. ET MAINTENANCE EQUIPMTS CLIMATISATION, VENTILATION, CHAUFFAGE, RESERVOIRS",0.43,0.5
BE16,REPARATION ET MAINTENANCE DES EQUIPEMENTS SANITAIRES ET PLOMBERIE,0.43,0.7
BE17,REPARATION ET MAINTENANCE DES AUTRES EQUIPEMENTS DES BATIMENTS,0.43,0.8
BE18,REPARATION ET MAINTENANCE DES  EQUIPEMENTS D'ACCES  AUTOMATIQUES,,0.4
BE21,NE PLUS UTILISER,0.36,0.9
BF01,TRAVAUX DE CONSTRUCTION NEUVE,0.39,0.35
BF02,TRAVAUX DE REHABILITATION OU DE REUTILISATION,0.42,0.25
BF03,TRAVAUX DE MISE EN SECURITE OU DE MISE EN CONFORMITE REGLEMENTAIRE,0.42,0.4
BF11,"ASSISTANCE A LA MAITRISE D'OUVRAGE, CONDUITE D'OPERATIONS, APP",0.16,0.4
BF12,MAITRISE D'ŒUVRE ET INGENIERIE,0.16,0.35
BF13,"ETUDES PREALABLES (TOPOGRAPHIE, ETUDES DE SOL, PROSPECTION…), PROGRAMMATION",0.16,0.6
BF14,"CONTROLES TECHNIQUES, MISSIONS DE SECURITE, CSPS",0.16,0.55
BF15,"DIAGNOSTICS, ORDONNANCEMENT-PILOTAGE-COORDINATION (OPC), SSI",0.16,0.5
BG01,PRODUITS PHYTOSANITAIRES POUR ESPACES VERTS,0.89,0.35
BG02,"SEMENCES, ARBRES, PLANTES ET FLEURS POUR ESPACES VERTS",1.3,0.25
BG03,PETITES FOURNITURES POUR ESPACES VERTS,0.6,0.4
BG04,MATERIEL POUR CREATION ET ENTRETIEN D'ESPACES VERTS,0.63,0.25
BG05,ACHAT DE MOBILIER URBAIN,,2.5
BG11,REPARATION ET MAINTENANCE DU MATERIEL D'ENTRETIEN DES ESPACES VERTS,0.24,0.4
BG21,SERVICES DE CREATION ET D'ENTRETIEN DES ESPACES VERTS,0.13,0.9
CA01,COMMUNICATION : CONCEPTION-REDACTION,0.16,0.35
CA02,COMMUNICATION : CONCEPTION-REALISATION,0.16,0.25
CA03,COMMUNICATION : TRAVAUX GRAPHIQUES,0.16,0.4
CA04,COMMUNICATION : TRAVAUX PHOTOGRAPHIQUES,0.16,0.25
CA11,"COMMUNICATION : CONCEPTION, REALISATION DE SITES INTERNET ET FRAIS CONNEXES",0.12,0.4
CA12,COMMUNICATION : CONCEPTION ET REALISATION DE RESEAUX SOCIAUX,0.12,0.35
CA13,COMMUNICATION : CONCEPTION ET REALISATION D'APPLICATIONS MOBILES ET WEB,0.15,0.6
CA14,COMMUNICATION : CONCEPTION ET REALISATION D'AUTRES OUTILS DE COMMUNICATION WEB,0.15,0.55
CA21,COMMUNICATION : EDITION DE DOCUMENTS IMPRIMES,0.23,0.9
CA22,COMMUNICATION : EDITION DE DOCUMENTS WEB,0.2,1.1
CA23,COMMUNICATION : CORRECTION ET RELECTURE DE DOCUMENTS,0.11,1.5
CA24,COMMUNICATION : DIFFUSION ET PROMOTION DE DOCUMENTS SUR TOUS SUPPORTS,0.18,2.2
CA31,COMMUNICATION : CONCEPTION-REALISATION AUDIOVISUELLES,0.11,0.55
CA32,COMMUNICATION : SERVICES AUDIOVISUELS D'INGENIERIE DU SON,0.17,0.45
CA33,COMMUNICATION : SERVICES AUDIOVISUELS D'INGENIERIE DE L'IMAGE,0.11,0.35
CA34,COMMUNICATION : SERVICES DE PRODUCTION AUDIOVISUELLE,0.11,0.25
CA35,"COMMUNICATION : DIFFUSION, DISTRIBUTION ET PROMOTION AUDIOVISUELLES",0.13,1.8
CB01,COMMUNICATION : OBJETS PROMOTIONNELS COURANTS,0.36,0.35
CB02,COMMUNICATION : CADEAUX,0.36,0.25
CB03,COMMUNICATION : MATERIEL ET EQUIPEMENTS POUR MANIFESTATIONS EVENEMENTIELLES,0.47,0.4
CB04,COMMUNICATION : SIGNALETIQUE POUR  MANIFESTATION EVENNEMENTIELLES,,0.25
CB11,COMMUNICATION : LOCATION ET RESERVATION D'ESPACES POUR MANIF. EVENEMENTIELLES,0.16,0.4
CB12,"COMMUNICATION : ORGANISATION DE COLLOQUES, CONGRES ET SEMINAIRES",0.16,0.35
CB13,"COMM : ORGANISATION ET REALISATION DE SALONS, EXPOSITIONS ET FOIRES",0.16,0.6
CB14,COMMUNICATION : SERVICES DE BILLETTERIE POUR MANIFESTATIONS EVENEMENTIELLES,0.16,0.55
CB15,COMMUNICATION : ORGANISATION D'AUTRES MANIFESTATIONS EVENEMENTIELLES,0.16,0.5
CB21,COMMUNICATION : TRAITEURS POUR MANIFESTATIONS EVENEMENTIELLES,0.34,0.9
CB22,COMMUNICATION : RESTAURATION POUR MANIFESTATIONS EVENEMENTIELLES,0.34,1.1
CB23,COMMUNICATION : HEBERGEMENT POUR MANIFESTATIONS EVENEMENTIELLES,0.29,1.5
CB24,COMMUNICATION : PROMOTION DE MANIFESTATIONS EVENEMENTIELLES,0.16,2.2
CB25,SERVICES DE SECURITE POUR MANISFESTATIONS,0.12,0.8
CB26,AUTRES PRESTATIONS/AUX MANIFESTATIONS EVENNEMENTIELLES,,0.6
CC01,COMMUNICATION : VEILLE DES MEDIAS TRADITIONNELS,0.16,0.35
CC02,COMMUNICATION : VEILLE DES MEDIAS INTERNET,0.16,0.25
CC03,RELATIONS PRESSE,0.16,0.4
CC11,COMM : SERVICES DE CONSEIL ET D'ACCOMPAGNEMENT DE CAMPAGNES DE COMMUNICATION,0.14,0.4
CC12,COMMUNICATION : SERVICES DE CONSEIL EN IDENTITE VISUELLE,0.14,0.35
CC13,COMMUNICATION : SERVICES DE CONSEIL EN IMAGE DES PERSONNES,0.14,0.6
CC14,COMMUNICATION : SERVICES DE MEDIATRAINING,0.16,0.55
CC15,COMMUNICATION : AUTRES SERVICES DE CONSEIL EN COMMUNICATION ET PUBLICITE,0.14,0.5
CC21,COMMUNICATION : ACHAT D'ESPACES PUBLICITAIRES,0.16,0.9
CC22,"COMMUNICATION : ETUDES, SONDAGES ET ENQUETES DE COMMUNICATION",0.16,1.1
CC23,COMMUNICATION : AUTRES SERVICES DE COMMUNICATION,0.16,1.5
CD01,CULTURE : ŒUVRES ET OBJETS D'ART EXISTANTS,0.09,0.35
CD02,CULTURE : REALISATION D'ŒUVRES ET OBJETS D'ART,0.09,0.25
CD03,CULTURE: REPRODUCTION D'ŒUVRES ET OBJETS D'ART,0.09,0.4
CD11,CULTURE : ACHATS DE REPRESENTATIONS ARTISTIQUES,0.16,0.4
CD12,CULTURE : CONCEPTION-REALISATION-INSTALLATION D'ECLAIRAGE ET/OU DE SON,0.29,0.35
CD13,CULTURE : CONCEPTION-REALISATION-INSTALLATION DE DECORS,0.29,0.6
CD14,CULTURE : CONCEPTION-REALISATION DE COSTUMES,0.29,0.55
CD21,"SERVICES DE GESTION, DE CONSERV. ET DE RESTAUR. DES COLLECTIONS DES MUSEES",0.12,0.9
CD22,SERVICES DE PRESERVATION DES SITES CLASSES OU INSCRITS,0.12,1.1
CD23,"SERVICES RELATIFS A LA PRESERVATION DES JARDINS, ZOOS ET RESERVES NATURELLES",0.12,1.5
CD24,AUTRES SERVICES DE CONSERVATION DU PATRIMOINE (HORS ARCHIVAGE),0.12,2.2
CD25,SERVICES D'INVENTAIRES SPECIFIQUES,0.11,0.8
CD31,CULTURE : SERVICES D'ANIMATION CULTURELLE,0.12,0.55
CD32,"SERVICES DE PARCS DE RECREATION, DE PLAGES, DE PARCS D'ATTRACTION",0.14,0.45
CD33,CULTURE : SERVICES DE MEDIATION CULTURELLE,0.12,0.35
CD34,CULTURE : AUTRES SERVICES SOCIO-CULTURELS,0.12,0.25
CD41,CONSOMMABLES SPECIFIQUES POUR LA CONSERVATION ET LA RESTAURATION DES COLLECTIONS,0.68,0.9
CD42,MATERIELS SPECIFIQUES POUR LA CONSERVATION ET LA RESTAURATION DES COLLECTIONS,0.5,1.0
CD43,MOBILIER SPECIFIQUE POUR LA CONSERVATION DES COLLECTIONS,0.61,0.7
CE01,DOCUMENTATION : LIVRES SCOLAIRES IMPRIMES DE TOUTES MATIERES,0.22,0.35
CE02,DOCUMENTATION : LIVRES SCOLAIRES ELECTRONIQUES DE TOUTES MATIERES,0.22,0.25
CE03,DOCUMENTATION : LIVRES NON SCOLAIRES IMPRIMES,0.22,0.4
CE04,DOCUMENTATION : LIVRES NON SCOLAIRES ELECTRONIQUES,0.22,0.25
CE05,DOCUMENTATION : LIVRES D'OCCASION ET EPUISES,0.12,2.5
CE06,DOCUMENTATION : LIVRES ANCIENS PUBLIES AVANT 1900,0.12,3.0
CE11,"DOCUMENT. : JOURNAUX, REVUES ET PERIODIQUES SCIENTIFIQUES (SUPPORT PAPIER)",0.22,0.4
CE12,"DOCUMENT. : JOURNAUX, REVUES ET PERIODIQUES NON SCIENTIFIQUES (SUPPORT PAPIER)",0.22,0.35
CE13,"DOCUMENT. : JOURNAUX, REVUES ET PERIODIQUES SCIENTIFIQUES (ELECTRONIQUES)",0.22,0.6
CE14,"DOCUMENT. : JOURNAUX, REVUES ET PERIODIQUES NON SCIENTIFIQUES (ELECTRONIQUES)",0.22,0.55
CE21,DOCUMENT. : DROIT D'ACCES A DES BASES DE DONNEES DOCUMENTAIRES SCIENTIFIQUES,0.16,0.9
CE22,DOCUMENT.: DROIT D'ACCES A DES BASES DE DONNEES DOCUMENTAIRES NON SCIENTIFIQUES,0.16,1.1
CE31,DOCUMENTATION : PARTITIONS MUSICALES,0.19,0.55
CE32,"DOCUMENTATION : CARTES (GEOGRAPHIQUES, TOPOGRAPHIQUES…) ET GLOBES TERRESTRES",0.19,0.45
CE33,DOCUMENTATION : NORMES,0.19,0.35
CE34,DOCUMENTATION : AUTRES DOCUMENTS,0.19,0.25
CE41,DOCUMENTATION : IMAGES FIXES,0.23,0.9
CE42,DOCUMENTATION : IMAGES ANIMEES SUR TOUT SUPPORT,0.23,1.0
CE43,DOCUMENTATION : AUTRES IMAGES,0.23,0.7
CE51,DOCUMENTATION : ENTREGISTREMENTS SONORES,0.21,2.5
CF01,"DOC. : ARCHIVES DE JOURNAUX, REVUES ET PERIODIQUES SCIENTIFIQUES (PAPIER)",0.16,0.35
CF02,"DOC. : ARCHIVES DE JOURNAUX, REVUES ET PERIODIQUES NON SCIENTIFIQUES (PAPIER)",0.16,0.25
CF03,"DOC. : ARCHIVES DE JOURNAUX, REVUES ET PERIODIQUES SCIENTIFIQUES (ELECTRONIQUES)",0.16,0.4
CF04,"DOC. : ARCHIVES DE JOURNAUX, REVUES ET PERIODIQUES NON SCIENTIF. (ELECTRONIQUES)",0.16,0.25
CF11,DOC. : DROIT D'ACCES A DES ARCHIVES DE BASES DE DONNEES DOCUMENTAIRES SCIENTIF.,0.18,0.4
CF12,DOC. : DROIT D'ACCES A DES ARCHIVES DE BASES DE DONNEES DOCUMENT. NON SCIENTIF.,0.18,0.35
CF21,DOCUMENTATION : ARCHIVES DE PARTITIONS MUSICALES,0.2,0.9
CF22,"DOCUMENTATION : ARCHIVES DE CARTES (GEOGRAPHIQUES, TOPOGRAPHIQUES…)",0.2,1.1
CF23,DOCUMENTATION : ARCHIVES D'AUTRES DOCUMENTS IMPRIMES,0.2,1.5
CF31,DOCUMENTATION : ARCHIVES D'IMAGES FIXES,0.18,0.55
CF32,DOCUMENTATION : ARCHIVES D'IMAGES ANIMEES SUR TOUT SUPPORT,0.18,0.45
CF33,DOCUMENTATION : ARCHIVES D'AUTRES IMAGES,0.18,0.35
CF41,DOCUMENTATION : ARCHIVES D'ENTREGISTREMENTS SONORES,0.18,0.9
CG01,DOCUMENTATION : FOURNITURES ET EQUIPEMENTS DE CONSERVATION DE DOCUMENTS,0.5,0.35
CG11,DOCUMENTATION : MOBILIER DE RANGEMENT DE BIBLIOTHEQUES ET DE MAGASINS D'ARCHIVES,0.52,0.4
CG12,DOCUMENTATION : MOBILIER POUR BIBLIOTHEQUES ET MAGASINS D'ARCHIVES,0.52,0.35
CG21,DOC : EQUIPEMENTS DE NUMERISATION POUR BIBLIOTHEQUES ET MAGASINS D'ARCHIVES,0.41,0.9
CG31,REPARATION ET MAINTENANCE DES MOBILIERS DE BIBLIOTHEQUES ET MAGASINS D'ARCHIVES,0.24,0.55
CG32,REPAR. ET MAINTENANCE DES EQUIPEMENTS DE BIBLIOTHEQUES ET MAGASINS D'ARCHIVES,0.24,0.45
CH01,DOC : LOGICIELS STANDARDS DE GESTION DE BIBLIOTHEQUES,0.12,0.35
CH02,DOC : LOGICIELS SPECIFIQUES DE GESTION DE BIBLIOTHEQUES,0.12,0.25
CH03,DOC : LOGIC. STANDARDS D'ACCES AUX CONTENUS ET RESSOURCES DOCUMENT.,0.12,0.4
CH04,DOC : LOGIC. SPECIFIQUES D'ACCES AUX CONTENUS ET RESSOURCES DOCUMENT.,0.12,0.25
